RDU,JFK,1597
JFK,RDU,1595
ORD,MDT,1594
DFW,IND,1594
ELP,IAH,1594
ABQ,DEN,1593
EWR,CLE,1593
IND,DFW,1593
MDT,ORD,1592
BHM,IAH,1590
AUS,JFK,1589
BUR,SFO,1589
JFK,AUS,1588
DEN,TPA,1588
MSP,MCO,1588
IAH,BHM,1587
TPA,DEN,1586
MCO,MSP,1586
MSY,DEN,1584
SFO,BUR,1581
PHX,AUS,1581
ABQ,DAL,1581
AUS,PHX,1580
SLC,BOI,1579
BOI,SLC,1578
SMF,PDX,1578
ORD,JFK,1577
ATL,XNA,1576
XNA,ATL,1575
JFK,ORD,1574
DAL,LBB,1572
DAL,ABQ,1572
LBB,DAL,1572
DFW,HOU,1571
SLC,SNA,1570
SNA,SLC,1570
BUF,ATL,1569
HOU,DFW,1569
CLE,DFW,1569
ATL,BUF,1568
DFW,CLE,1568
SAT,LAX,1556
HOU,HRL,1555
HRL,HOU,1554
LAS,CLT,1554
CLT,LAS,1553
DEN,MSY,1552
OMA,ATL,1552
ISP,BWI,1551
PHX,SAT,1549
BWI,ISP,1546
CLE,EWR,1544
IAH,ELP,1544
LAX,HOU,1543
HOU,LAX,1540
LAX,SAT,1539
SAT,PHX,1537
BOS,RDU,1530
STL,MCO,1529
MRY,LAX,1529
LAX,MRY,1529
MCO,STL,1529
RDU,BOS,1526
BUF,MCO,1525
MAF,DAL,1522
ORD,BDL,1521
MCO,BUF,1521
CLT,MSY,1520
TUL,ATL,1518
ATL,TUL,1516
DAL,MAF,1516
DCA,EWR,1516
EWR,CVG,1515
EWR,DCA,1515
MOB,IAH,1513
SEA,EWR,1513
DFW,SJC,1512
IAH,SNA,1512
IAH,MOB,1511
DFW,CMH,1511
SJC,DFW,1511
CMH,DFW,1511
BIS,MSP,1503
MSP,BIS,1503
DAL,DEN,1502
CRP,DFW,1497
DFW,CRP,1496
ROA,ATL,1496
ATL,ROA,1496
SEA,BOS,1496
DEN,TUL,1494
BOS,SEA,1494
EWR,SEA,1491
BDL,ORD,1490
DAB,ATL,1489
ATL,DAB,1489
SLC,SMF,1480
DEN,DAL,1480
CVG,EWR,1479
SMF,SLC,1479
SHV,IAH,1473
PIT,MCO,1473
MSY,CLT,1471
IAH,SHV,1470
LAX,STL,1468
MCO,PIT,1464
DAL,PHX,1463
SNA,IAH,1463
TUL,DEN,1461
TPA,MDW,1461
SBA,LAX,1460
LAX,SBA,1459
STL,LAX,1458
PHX,DAL,1457
MFE,DFW,1454
ELP,PHX,1451
PHX,ELP,1450
MDW,TPA,1450
DFW,MFE,1450
ONT,DFW,1441
DFW,ONT,1441
CMH,LGA,1439
LGA,CMH,1439
LAS,DAL,1435
ATW,ORD,1434
ORD,ATW,1434
DTW,ELM,1431
DAL,LAS,1431
PHX,BOS,1431
ELM,DTW,1430
STL,LAS,1429
BOS,PHX,1428
SFO,OGG,1428
OGG,SFO,1426
BNA,MCO,1426
HOU,LAS,1424
LAS,STL,1424
CMH,BWI,1423
EYW,ATL,1423
ATL,EYW,1423
DTW,MSN,1422
PIT,DFW,1422
MCI,DTW,1421
ATL,MYR,1421
MCO,HOU,1421
DFW,PIT,1421
DTW,MCI,1420
ATL,SJU,1420
SJU,ATL,1420
MYR,ATL,1420
IAH,PNS,1419
PNS,IAH,1419
ATL,GPT,1414
GPT,ATL,1414
BWI,CMH,1414
MKE,PHX,1413
MCO,BNA,1412
PHX,MKE,1409
LAS,HOU,1407
SFO,BOI,1403
GRR,DTW,1399
HOU,MCO,1399
IAD,IAH,1399
ORD,MSY,1399
BOI,SFO,1397
PHX,HOU,1396
MIA,LAS,1396
LAS,MIA,1395
ORD,CWA,1394
CWA,ORD,1394
BOS,MDW,1391
CLE,DCA,1388
HOU,PHX,1388
SLC,DTW,1388
DTW,SLC,1386
DCA,CLE,1385
KOA,LAX,1385
LAX,KOA,1385
MDW,BOS,1385
MCO,CLE,1383
LGA,RIC,1383
CLE,MCO,1382
RIC,LGA,1381
CLE,LAS,1380
EWR,RSW,1380
LAS,CLE,1377
MSN,DTW,1375
DEN,RNO,1373
SBP,LAX,1373
LAS,ONT,1372
LAX,SBP,1372
ONT,LAS,1372
RSW,EWR,1371
DEN,CLE,1369
MSP,EWR,1368
MSY,ORD,1364
RNO,DEN,1364
BDL,DTW,1364
OMA,DFW,1363
DFW,OMA,1362
DFW,ELP,1359
ELP,DFW,1359
DTW,BDL,1357
RIC,CLT,1350
